state of the art,,hiện đại nhất,phrase,The technology is state of the art. (Công nghệ là hiện đại nhất.),Kỹ năng nghe: Phần 2
athlete,/'æ0.li:t/,vận động viên,noun,The athlete broke the record. (Vận động viên đó phá kỷ lục.),Kỹ năng nghe: Phần 2
compete,/kəm'pi:t/,cạnh tranh,verb,Teams will compete in the tournament. (Các đội sẽ thi đấu trong giải đấu.),Kỹ năng nghe: Phần 2
delighted,/dı'laı.tıd/,"hài lòng, vui vẻ",adjective,She was delighted with the results. (Cô ấy rất hài lòng với kết quả.),Kỹ năng nghe: Phần 2
institute,/'n.str.tfu:t/,"viện, cơ sở",noun,The institute conducts research. (Viện tiến hành nghiên cứu.),Kỹ năng nghe: Phần 2
initiative,/1'nıf.ǝ.tıv/,sáng kiến,noun,They launched a new initiative. (Họ phát động một sáng kiến mới.),Kỹ năng nghe: Phần 2
preserve,/prı'z3:v/,"gìn giữ, bảo vệ",verb,We should preserve natural resources. (Chúng ta nên bảo vệ tài nguyên thiên nhiên.),Kỹ năng nghe: Phần 2
allocate,/'æl.ǝ.kert/,phân bổ,verb,Funds will be allocated for the project. (Vốn sẽ được phân bổ cho dự án.),Kỹ năng nghe: Phần 2
preliminary,/prı'lım.ı.nər.i/,sơ bộ,adjective,The preliminary results are promising. (Kết quả sơ bộ là đầy hứa hẹn.),Kỹ năng nghe: Phần 2
findings,/'faın.dınz/,"phát hiện, thông tin tìm được",noun,The findings were published recently. (Các phát hiện đã được công bố gần đây.),Kỹ năng nghe: Phần 2
forecasting,/'fɔ:ka:stın/,công việc dự báo,noun,Forecasting helps in planning. (Dự báo giúp trong việc lập kế hoạch.),Kỹ năng nghe: Phần 2
customize,/'kAs.tə.maız/,tùy chỉnh,verb,You can customize your profile. (Bạn có thể tùy chỉnh hồ sơ của mình.),Kỹ năng nghe: Phần 2
transplant,/træn'spla:nt/,cấy ghép,verb,He underwent a heart transplant. (Anh ấy đã trải qua ca ghép tim.),Kỹ năng nghe: Phần 2
variety,/və'raı.ə.ti/,"nhiều, đa dạng",noun,The store offers a variety of products. (Cửa hàng cung cấp nhiều loại sản phẩm.),Kỹ năng nghe: Phần 2
resident,/'rez.1.dənt/,cư dân,noun,The residents are friendly. (Cư dân rất thân thiện.),Kỹ năng nghe: Phần 2
promotion,/pra mou.fən/,sự quảng bá,noun,The promotion increased sales. (Chiến dịch quảng bá đã tăng doanh số.),Kỹ năng nghe: Phần 2
fill out,,điền vào (đơn từ),phrase,Please fill out the application form. (Vui lòng điền vào mẫu đơn ứng tuyển.),Kỹ năng nghe: Phần 2
receipt,/rı'si:t/,biên lai,noun,Keep the receipt for returns. (Giữ biên lai để đổi hàng.),Kỹ năng nghe: Phần 2
engage,/In'gerd3/,"đính hôn, thu hút, thuê tuyển",verb,They plan to engage a new manager. (Họ dự định tuyển một quản lý mới.),Kỹ năng nghe: Phần 2
reside,/rı'zaıd/,cư trú,verb,He resides in the city. (Anh ấy cư trú trong thành phố.),Kỹ năng nghe: Phần 2
stimulation,/ stım.jə'ler.fən/,sự kích thích,noun,The drug has a stimulating effect. (Thuốc có tác dụng kích thích.),Kỹ năng nghe: Phần 2
representative,/ rep.rı'zen.tə.tıv/,người đại diện,noun,She is the company's representative. (Cô ấy là người đại diện của công ty.),Kỹ năng nghe: Phần 2
permission,/pə'mıf.ən/,sự cho phép,noun,You need permission to enter. (Bạn cần sự cho phép để vào.),Kỹ năng nghe: Phần 2
certified,/'s3:.tı.fard/,được chứng nhận,adjective,He is a certified professional. (Anh ấy là một chuyên gia được chứng nhận.),Kỹ năng nghe: Phần 2
determine,/dı't3:.mın/,xác định,verb,The test will determine the result. (Bài kiểm tra sẽ xác định kết quả.),Kỹ năng nghe: Phần 2
upcoming,/ap kam.mn/,sắp tới,adjective,The upcoming event is important. (Sự kiện sắp tới quan trọng.),Kỹ năng nghe: Phần 2
dependable,/dr'pen.də.bəl/,"có thể dựa vào, đáng tin cậy",adjective,She is a dependable employee. (Cô ấy là một nhân viên đáng tin cậy.),Kỹ năng nghe: Phần 2
reminder,/rı'maın.dər/,lời nhắc,noun,Set a reminder for the meeting. (Đặt lời nhắc cho cuộc họp.),Kỹ năng nghe: Phần 2
surrounding,/sə'raun.dın/,xung quanh,adjective,The surrounding area is scenic. (Vùng xung quanh rất đẹp.),Kỹ năng nghe: Phần 2
opposition,"/,ap.e'zıf.ən/",sự phản đối,noun,There was opposition to the plan. (Có sự phản đối kế hoạch.),Kỹ năng nghe: Phần 2
adjust,/ǝ'd3Ast/,điều chỉnh,verb,You can adjust the settings easily. (Bạn có thể điều chỉnh các cài đặt dễ dàng.),Kỹ năng nghe: Phần 2
justify,/'d3As.tI.far/,biện minh,verb,Can you justify your decision? (Bạn có thể biện minh cho quyết định của mình không?),Kỹ năng nghe: Phần 2
rave review,,đánh giá khen ngợi,phrase,The movie received rave reviews. (Bộ phim nhận được nhiều lời khen ngợi.),Kỹ năng nghe: Phần 2
nutrition,/nju: 'trıf.ən/,dinh dưỡng,noun,Nutrition is essential for health. (Dinh dưỡng là thiết yếu cho sức khỏe.),Kỹ năng nghe: Phần 2
criticise,/'krıt.r.saız/,"chi trích, phê bình",verb,The article criticises the policy. (Bài báo phê bình chính sách.),Kỹ năng nghe: Phần 2
inconvenience,/ın.kən'vi:.ni.əns/,sự bất tiện,noun,Sorry for the inconvenience. (Xin lỗi về sự bất tiện.),Kỹ năng nghe: Phần 2
anticipate,/æn'tıs...pert/,dự đoán,verb,We anticipate increased sales. (Chúng tôi dự đoán doanh số tăng.),Kỹ năng nghe: Phần 2
wait in line,/weɪt ɪn laɪn/,xếp hàng,phrase,People have to wait in line to buy tickets. (Mọi người phải xếp hàng để mua vé.),Kỹ năng nghe: Phần 1
wipe something off something,/waɪp ˈsʌmθɪŋ ɒf ˈsʌmθɪŋ/,"lau sạch, lau cởi",phrase,She wiped the table off. (Cô ấy lau sạch bàn.),Kỹ năng nghe: Phần 1
throw away,/θroʊ əˈweɪ/,vứt bỏ,phrase,Please throw away the trash. (Vui lòng vứt rác đi.),Kỹ năng nghe: Phần 1
shovel,/ˈʃʌv.əl/,"xẻng, xúc",noun,He used a shovel to dig the garden. (Anh ấy dùng xẻng để đào vườn.),Kỹ năng nghe: Phần 1
rearrange,/ri:.əˈreɪn.dʒ/,sắp xếp lại,verb,They need to rearrange the furniture. (Họ cần sắp xếp lại nội thất.),Kỹ năng nghe: Phần 1
vehicle,/ˈviː.ɪ.kəl/,phương tiện,noun,The vehicle was damaged in the accident. (Phương tiện bị hư trong tai nạn.),Kỹ năng nghe: Phần 1
rack,/ræk/,giá đỡ,noun,He hung his clothes on the rack. (Anh ấy treo quần áo trên giá đỡ.),Kỹ năng nghe: Phần 1
stack,/stæk/,"chồng, đống",noun,There is a stack of books on the table. (Có một đống sách trên bàn.),Kỹ năng nghe: Phần 1
sweep,/swiːp/,quét,verb,She swept the floor thoroughly. (Cô ấy quét sàn sạch sẽ.),Kỹ năng nghe: Phần 1
material,/məˈtɪə.ri.əl/,vật liệu,noun,The building is made of strong material. (Ngôi nhà được làm từ vật liệu chắc chắn.),Kỹ năng nghe: Phần 1
mostly,/ˈməʊst.li/,"đa số, hầu hết",adverb,It is mostly sunny today. (Hôm nay chủ yếu trời nắng.),Kỹ năng nghe: Phần 1
tenant,/ˈten.ənt/,khách thuê,noun,The tenant pays rent monthly. (Khách thuê trả tiền thuê hàng tháng.),Kỹ năng nghe: Phần 1
vendor,/ˈven.dər/,"người bán, nhà cung cấp",noun,The vendor sells fresh vegetables. (Người bán hàng bán rau tươi.),Kỹ năng nghe: Phần 1
maintenance,/ˈmeɪn.tən.əns/,sự bảo trì,noun,The machine requires regular maintenance. (Máy móc cần bảo trì định kỳ.),Kỹ năng nghe: Phần 1
personnel,/ˌpɜː.səˈnɛl/,nhân sự,noun,The personnel department manages staff. (Phòng nhân sự quản lý nhân viên.),Kỹ năng nghe: Phần 1
division,/dɪˈvɪʒ.ən/,bộ phận,noun,This division handles sales. (Bộ phận này xử lý doanh số.),Kỹ năng nghe: Phần 1
corridor,/ˈkɔː.rɪ.dɔːr/,"hành lang, lối đi",noun,The office corridor is busy. (Hành lang văn phòng tấp nập.),Kỹ năng nghe: Phần 1
achieve,/eˈtʃiːv/,đạt được,verb,They achieved their goal. (Họ đã đạt được mục tiêu.),Kỹ năng nghe: Phần 1
turn out,/tɜːrn aʊt/,"hóa ra, có mặt tại một sự kiện",phrase,It turns out he was right. (Hóa ra anh ấy đúng.),Kỹ năng nghe: Phần 1
available,/əˈveɪ.lə.bəl/,có sẵn,adjective,The product is available now. (Sản phẩm hiện có sẵn.),Kỹ năng nghe: Phần 1
prototype,/ˈprəʊ.tə.taɪp/,nguyên mẫu,noun,They built a prototype first. (Họ xây dựng một nguyên mẫu trước.),Kỹ năng nghe: Phần 1
nominate,/ˈnɒm.ɪ.neɪt/,đề cử,verb,They will nominate a candidate. (Họ sẽ đề cử một ứng viên.),Kỹ năng nghe: Phần 1
organize,/ˈɔː.ɡə.naɪz/,tổ chức,verb,She organized the event. (Cô ấy đã tổ chức sự kiện.),Kỹ năng nghe: Phần 1
prescription,/prɪˈskrɪp.ʃən/,sự kê đơn,noun,He received a prescription from the doctor. (Anh ấy nhận đơn thuốc từ bác sĩ.),Kỹ năng nghe: Phần 1
fundraiser,/ˈfʌndˌreɪ.zər/,người gây quỹ,noun,They organized a fundraiser. (Họ tổ chức một buổi gây quỹ.),Kỹ năng nghe: Phần 1
merchandise,/ˈmɜː.tʃən.daɪz/,hàng hóa,noun,The store sells merchandise. (Cửa hàng bán hàng hóa.),Kỹ năng nghe: Phần 1
accounting,/əˈkaʊn.tɪŋ/,việc kế toán,noun,He works in accounting. (Anh ấy làm việc trong lĩnh vực kế toán.),Kỹ năng nghe: Phần 1
invoice,/ˈɪn.vɔɪs/,hóa đơn,noun,She sent the invoice yesterday. (Cô ấy gửi hóa đơn hôm qua.),Kỹ năng nghe: Phần 1
authorize,/ˈɔː.θər.aɪz/,"cấp quyền, trao quyền",verb,They authorized him to sign documents. (Họ cấp quyền cho anh ấy ký tài liệu.),Kỹ năng nghe: Phần 1
absent,/ˈæb.sənt/,vắng mặt,adjective,She was absent yesterday. (Cô ấy vắng mặt hôm qua.),Kỹ năng nghe: Phần 1
uneventful,/ʌn.ɪˈvɛnt.fəl/,không có gì thú vị xảy ra,adjective,It was an uneventful day. (Đó là một ngày không có gì đặc biệt.),Kỹ năng nghe: Phần 1
behind schedule,/bɪˈhaɪnd ˈʃedʒ.uːl/,chậm tiến độ,phrase,The project is behind schedule. (Dự án chậm tiến độ.),Kỹ năng nghe: Phần 1
hospitality,/hɒs.pɪˈtæl.ɪ.ti/,sự hiếu khách,noun,They showed great hospitality. (Họ đã thể hiện sự hiếu khách tốt.),Kỹ năng nghe: Phần 1
meteorology,/ˌmiː.tɪ.əˈrɒl.ə.dʒi/,khí tượng học,noun,He studies meteorology. (Anh ấy học khí tượng học.),Kỹ năng nghe: Phần 1
stamp,/stæmp/,tem,noun,He bought a new stamp. (Anh ấy mua một tem mới.),Kỹ năng nghe: Phần 1
retirement,/rɪˈtaɪə.mənt/,sự nghỉ hưu,noun,She started her retirement last year. (Cô ấy bắt đầu nghỉ hưu năm ngoái.),Kỹ năng nghe: Phần 1
negotiate,/nɪˈɡoʊ.ʃi.eɪt/,đàm phán,verb,They will negotiate the deal. (Họ sẽ đàm phán thương vụ.),Kỹ năng nghe: Phần 1
oversee,/ˌoʊ.vərˈsiː/,giám sát,verb,She oversees the project. (Cô ấy giám sát dự án.),Kỹ năng nghe: Phần 1
merger,/ˈmɜː.dʒər/,sự sáp nhập,noun,The merger was successful. (Việc sáp nhập đã thành công.),Kỹ năng nghe: Phần 1
assignment,/əˈsaɪn.mənt/,việc được giao,noun,He completed the assignment. (Anh ấy hoàn thành nhiệm vụ.),Kỹ năng nghe: Phần 1
mention,/ˈmen.ʃən/,"nhắc đến, đề cập",verb,She mentioned the problem. (Cô ấy đề cập đến vấn đề.),Kỹ năng nghe: Phần 1
out of service,/aʊt əv ˈsɜː.vɪs/,không hoạt động,phrase,The elevator is out of service. (Thang máy không hoạt động.),Kỹ năng nghe: Phần 1
demonstrate,/ˈdem.ən.streɪt/,"chứng minh, minh họa",verb,He demonstrated the new device. (Ông ấy trình diễn thiết bị mới.),Kỹ năng nghe: Phần 1
compact,/kəmˈpækt/,"nhỏ gọn, gọn nhẹ",adjective,The new phone is compact. (Điện thoại mới nhỏ gọn.),Kỹ năng nghe: Phần 1
registration,/ˌreʤ.ɪˈstreɪ.ʃən/,sự đăng ký,noun,Registration is open now. (Việc đăng ký mở cửa hiện nay.),Kỹ năng nghe: Phần 1
reduction,/rɪˈdʌk.ʃən/,sự giảm,noun,The reduction in price is significant. (Sự giảm giá đáng kể.),Kỹ năng nghe: Phần 1
ingredient,/ɪnˈgriː.di.ənt/,nguyên liệu,noun,The recipe has many ingredients. (Công thức có nhiều nguyên liệu.),Kỹ năng nghe: Phần 1
entirely,/ɪnˈtaɪə.li/,toàn bộ,adverb,I agree entirely. (Tôi đồng ý hoàn toàn.),Kỹ năng nghe: Phần 1
investigation,/ɪnˌves.tɪˈɡeɪ.ʃən/,sự điều tra,noun,The investigation is ongoing. (Cuộc điều tra đang diễn ra.),Kỹ năng nghe: Phần 1
lack,/læk/,thiếu,verb,They lack the necessary resources. (Họ thiếu nguồn lực cần thiết.),Kỹ năng nghe: Phần 1
qualified,/ˈkwɒl.ɪ.faɪd/,đủ điều kiện,adjective,He is qualified for the job. (Anh ấy đủ điều kiện cho công việc.),Kỹ năng nghe: Phần 1
preference,/ˈpref.ər.əns/,"sở thích, thị hiếu",noun,She has a preference for tea. (Cô ấy thích trà hơn.),Kỹ năng nghe: Phần 1
initiative,/ɪˈnɪʃ.ə.tɪv/,sáng kiến,noun,They launched a new initiative. (Họ đã khởi xướng sáng kiến mới.),Kỹ năng nghe: Phần 1
avoid,/əˈvɔɪd/,tránh,verb,He tries to avoid trouble. (Anh ấy cố gắng tránh rắc rối.),Kỹ năng nghe: Phần 1
certification,/ˌsɜː.tɪ.fɪˈkeɪ.ʃən/,sự cấp giấy chứng nhận,noun,Her certification is valid. (Chứng nhận của cô ấy hợp lệ.),Kỹ năng nghe: Phần 1
annual,/ˈæn.ju.əl/,thường niên,adjective,The annual meeting is in December. (Cuộc họp thường niên diễn ra tháng Mười Hai.),Kỹ năng nghe: Phần 1
donor,/ˈdəʊ.nər/,người hiến tặng,noun,He is a generous donor. (Anh ấy là một nhà tài trợ hào phóng.),Kỹ năng nghe: Phần 1
unfortunately,/ʌnˈfɔː.tʃuː.nə.tli/,không may là,adverb,"Unfortunately, he couldn't attend. (Không may là anh ấy không thể tham dự.)",Kỹ năng nghe: Phần 1
remove,/rɪˈmuːv/,"gỡ bỏ, loại bỏ",verb,Please remove the old files. (Vui lòng loại bỏ các tệp cũ.),Kỹ năng nghe: Phần 1
glance,/ɡlɑːns/,liếc nhìn,noun,He took a quick glance. (Anh ấy liếc nhanh.),Kỹ năng nghe: Phần 1
assign,/əˈsaɪn/,"phân công, giao việc",verb,They assign tasks to team members. (Họ phân công nhiệm vụ cho các thành viên nhóm.),Kỹ năng nghe: Phần 1
press conference,/prɛs ˈkɒn.fər.əns/,họp báo,phrase,The company held a press conference. (Công ty tổ chức họp báo.),Kỹ năng nghe: Phần 1
crucial,/ˈkruː.ʃəl/,quan trọng,adjective,It's a crucial decision. (Đây là quyết định quan trọng.),Kỹ năng nghe: Phần 1
assemble,/əˈsem.bəl/,tập hợp,verb,They assemble the equipment. (Họ lắp ráp thiết bị.),Kỹ năng nghe: Phần 1
opportunity,/ˌɒp.əˈtjuː.nɪ.ti/,cơ hội,noun,This is a great opportunity. (Đây là cơ hội tuyệt vời.),Kỹ năng nghe: Phần 1
capacity,/kəˈpæs.ɪ.ti/,sức chứa,noun,The hall has a capacity of 500 people. (Phòng có sức chứa 500 người.),Kỹ năng nghe: Phần 1
adjacent,/əˈdʒeɪ.sənt/,liền kề,adjective,Their offices are adjacent. (Văn phòng của họ ở liền kề nhau.),Kỹ năng nghe: Phần 1
adjacent to,/əˈdʒeɪ.sənt tuː/,liền kề với,phrase,The hotel is adjacent to the beach. (Khách sạn gần bãi biển.),Kỹ năng nghe: Phần 1
designate,/ˈdez.ɪɡ.neɪt/,chỉ định,verb,He was designated as team leader. (Anh ấy được chỉ định làm trưởng nhóm.),Kỹ năng nghe: Phần 1
alternate,/ˈɔːl.tər.nət/,"luân phiên, xen kẽ",adjective,They take alternate shifts. (Họ thay phiên ca làm việc.),Kỹ năng nghe: Phần 1
feature,/ˈfiː.tʃər/,đặc điểm,noun,The new model has many features. (Mẫu mới có nhiều đặc điểm.),Kỹ năng nghe: Phần 1
proceeds,/ˈproʊ.siːdz/,tiền thu được,noun,The proceeds will be donated. (Tiền thu được sẽ quyên góp.),Kỹ năng nghe: Phần 1
refreshments,/rɪˈfɹɛʃ.mənts/,đồ ăn thức uống,noun,Light refreshments are served. (Đồ ăn thức uống nhẹ được phục vụ.),Kỹ năng nghe: Phần 1
refer,/rɪˈfɜːr/,"chỉ đến, đề cập tới",verb,Please refer to the manual. (Vui lòng tham khảo sách hướng dẫn.),Kỹ năng nghe: Phần 1
guest speaker,/ɡɛst spiːkər/,diễn giả khách mời,phrase,The guest speaker was inspiring. (Diễn giả khách mời rất truyền cảm hứng.),Kỹ năng nghe: Phần 1
